date,type,registration,operator,fatalities,location,country,cat,year
10-Sep-99,Beech 1900D,VH-NTL,QantasLink/Impulse,0.0,Newcastle-Willia...,Australia,A2,1999
12-Sep-99,Boeing 737-3T0,N17356,Continental Air Lines,0.0,West Palm Beach ...,USA,A2,1999
14-Sep-99,Boeing 757-204,G-BYAG,Britannia Airways,1.0,Gerona-Costa Bra...,Spain,A1,1999
14-Sep-99,Embraer EMB-110 Bandeirante,PT-ODK,Norte Jet TÃ¡xi AÃ©reo,2.0,near Monte Dourado Ai...,Brazil,A1,1999
14-Sep-99,Dassault Falcon 900B,SX-ECH,"Hellenic AF, op.for Olympic Airways",7.0,FIR Bucharest,Romania,A2,1999
17-Sep-99,Lockheed C-130A Hercules,3610,Mexican AF,5.0,near Zempoala,Mexico,A1,1999
18-Sep-99,Shorts 330-200,G-SSWU,Streamline Aviation,0.0,London-Luton Air...,U.K.,O1,1999
19-Sep-99,Beech 200 Super King Air,YV-385CP,Compania Aerospace de Venezuela,2.0,near Bimini,Bahamas,A1,1999
21-Sep-99,Beech 200 Super King Air,5Y-BIW,Private,0.0,Nairobi-Wilson A...,Kenya,U1,1999
23-Sep-99,Tupolev Tu-134A,RA-65626,Vaynakhavia,0.0,Grozny Airport (...,Russia,O1,1999
23-Sep-99,Boeing 747-438,VH-OJH,Qantas,0.0,Bangkok Internat...,Thailand,A2,1999
24-Sep-99,Learjet 36A,OE-GMD,Ãrzteflugambulanz,0.0,Tulln/Langenleba...,Austria,A2,1999
26-Sep-99,Learjet 24A,N224SC,Dolphin Aviation,0.0,Gainesville-Lee ...,USA,A1,1999
29-Sep-99,Antonov An-12,LZ-SFJ,"Air Sofia, op.for Mandala Airlines",0.0,Pekanbaru-Simpan...,Indonesia,A1,1999
05-Oct-99,Beech 200 Super King Air,N208MS,Shoreline Aviation,2.0,near North Adams-Harr...,USA,A1,1999
08-Oct-99,Saab 2000,SE-LSF,SAS Commuter,0.0,Stockholm-Arland...,Sweden,O1,1999
